Subject,ItemNo,Reaction.Time,Condition,item_num
bru064,14,566.6649999911897,unrelated,Even
bru064,15,503.12000000849366,related,Odd
bru064,15,464.8099999758415,unrelated,Odd
bru064,16,855.9849999728613,unrelated,Even
bru064,16,991.4599999901839,related,Even
bru064,17,597.8449999820441,related,Odd
bru064,17,547.8400000138208,unrelated,Odd
bru064,18,768.5949999722652,unrelated,Even
bru064,18,470.1200000126846,related,Even
bru064,20,567.0549999922514,unrelated,Even
bru064,20,554.085000010673,related,Even
bru064,21,550.1050000311807,unrelated,Odd
bru064,21,477.8999999980442,related,Odd
bru064,22,470.68500000750646,related,Even
bru064,22,632.3950000223704,unrelated,Even
bru064,23,417.04499995103106,related,Odd
bru064,23,517.325000022538,unrelated,Odd
bru064,24,485.81499996362254,unrelated,Even
bru064,24,451.4750000089407,related,Even
bru064,25,480.38500000257045,related,Odd
bru064,25,662.3299999628216,unrelated,Odd
bru064,26,553.1699999701232,unrelated,Even
bru064,26,648.1449999846518,related,Even
bru064,27,534.5849999575876,related,Odd
bru064,27,578.4550000098534,unrelated,Odd
bru064,29,652.1450000000186,related,Odd
bru064,29,601.5450000413693,unrelated,Odd
bru064,30,554.4299999601208,related,Even
bru064,30,697.6550000254065,unrelated,Even
bru064,31,549.0550000104122,unrelated,Odd
bru064,31,444.7449999861419,related,Odd
bru064,32,784.58999999566,related,Even
bru064,32,801.1249999981374,unrelated,Even
bru064,33,675.9149999707006,related,Odd
bru064,33,605.4700000095181,unrelated,Odd
bru064,34,544.4700000225566,related,Even
bru064,34,554.6449999674223,unrelated,Even
bru064,35,542.505000019446,unrelated,Odd
bru064,35,518.949999997858,related,Odd
bru064,37,812.3149999883026,unrelated,Odd
bru064,37,471.40999999828637,related,Odd
bru064,38,567.1650000149384,unrelated,Even
bru064,38,428.1499999924563,related,Even
bru064,39,580.5249999975786,unrelated,Odd
bru064,39,541.7299999971874,related,Odd
bru064,40,705.3549999836832,related,Even
bru064,40,678.3300000242889,unrelated,Even
buk156,1,888,related,Odd
buk156,1,904,unrelated,Odd
buk156,2,749,unrelated,Even
buk156,2,723,related,Even
buk156,3,792,unrelated,Odd
buk156,3,672,related,Odd
buk156,4,1671,unrelated,Even
buk156,4,778,related,Even
buk156,6,773,related,Even
buk156,6,584,unrelated,Even
buk156,7,848,unrelated,Odd
buk156,7,2306,related,Odd
buk156,8,1469,related,Even
buk156,8,970,unrelated,Even
buk156,9,884,related,Odd
buk156,10,1167.9999999997672,related,Even
buk156,10,669,unrelated,Even
buk156,11,1334.0000000000582,related,Odd
buk156,11,720.0000000004657,unrelated,Odd
buk156,12,1435,unrelated,Even
buk156,12,661.0000000004657,related,Even
buk156,13,1463,related,Odd
buk156,17,1037.9999999999418,unrelated,Odd
buk156,18,917,unrelated,Even
buk156,18,975.0000000002328,related,Even
buk156,19,678,unrelated,Odd
buk156,19,685,related,Odd
buk156,20,835.0000000002328,related,Even
buk156,20,912,unrelated,Even
buk156,21,856,related,Odd
buk156,21,681,unrelated,Odd
buk156,22,886.9999999997672,related,Even
buk156,22,652,unrelated,Even
buk156,23,1038,unrelated,Odd
buk156,23,813.9999999995343,related,Odd
buk156,25,851.9999999997672,unrelated,Odd
buk156,25,643,related,Odd
buk156,26,876,unrelated,Even
buk156,26,641,related,Even
buk156,27,2066,unrelated,Odd
buk156,27,1369.0000000002328,related,Odd
buk156,28,872,related,Even
buk156,28,786,unrelated,Even
buk156,29,1021,related,Odd
buk156,29,911.9999999997672,unrelated,Odd
buk156,31,898,related,Odd
buk156,32,831,related,Even
buk156,32,778,unrelated,Even
buk156,35,1550,unrelated,Odd
buk156,35,763.0000000004657,related,Odd
buk156,36,881,related,Even
buk156,36,1409,unrelated,Even
buk156,37,1468,unrelated,Odd
buk156,37,1208,related,Odd
buk156,38,1361,related,Even
buk156,38,678,unrelated,Even
buk156,40,1910,related,Even
buk156,40,1277,unrelated,Even
bxf230,1,462.7950000576675,related,Odd
bxf230,1,454.20000003650784,unrelated,Odd
bxf230,2,542.8150000516325,unrelated,Even
bxf230,2,385.51499997265637,related,Even
bxf230,3,518.3699999470264,related,Odd
bxf230,3,540.2849999954924,unrelated,Odd
bxf230,4,515.3850000351667,related,Even
bxf230,4,531.844999990426,unrelated,Even
bxf230,5,464.65999993961304,unrelated,Odd
bxf230,5,487.8900001058355,related,Odd
bxf230,6,637.5850000185892,related,Even
bxf230,6,491.45499989390373,unrelated,Even
bxf230,7,534.3700000084937,unrelated,Odd
bxf230,7,612.690000096336,related,Odd
