ID,TRIAL_INDEX,con,pic_percent,TransformedDwellPic,Q,acc,List
P105,43,1,0.12027821759782854,0.3541694696052459,Q61,1,List5
P105,44,1,0.07747150957166114,0.28206229896892937,Q62,1,List5
P105,44,1,0.07747150957166114,0.28206229896892937,Q63,1,List5
P105,45,1,0.19632430362783573,0.459036979881666,Q64,1,List5
P105,46,1,0.20837942477876106,0.47404161496934605,Q65,1,List5
P105,47,1,0.20235495204633938,0.4665848454525558,Q66,0,List5
P105,48,1,0.07185525062765129,0.2713770011978971,Q68,1,List5
P105,48,1,0.07185525062765129,0.2713770011978971,Q67,0,List5
P105,49,1,0.09569288389513109,0.3145017139374437,Q69,1,List5
P105,5,0,0.21390805989425676,0.4808150379841135,Q8,1,List5
P105,5,0,0.21390805989425676,0.4808150379841135,Q9,1,List5
P105,50,1,0.23892760127554033,0.5107162338722443,Q70,1,List5
P105,50,1,0.23892760127554033,0.5107162338722443,Q71,1,List5
P105,51,1,0.3534497816593887,0.6366641180463041,Q73,0,List5
P105,51,1,0.3534497816593887,0.6366641180463041,Q72,0,List5
P105,51,1,0.3534497816593887,0.6366641180463041,Q74,1,List5
P105,52,1,0.048731642189586116,0.22258588117967237,Q75,1,List5
P105,53,1,0.16116248348745046,0.4130999911000497,Q76,1,List5
P105,54,1,0.39000876424189307,0.6744999124907084,Q78,1,List5
P105,54,1,0.39000876424189307,0.6744999124907084,Q77,0,List5
P105,55,1,0.6163984012098952,0.9028744193619432,Q79,1,List5
P105,56,1,0.2590929501571621,0.5340362730384083,Q80,1,List5
P105,57,1,0.7051268213707501,0.9967642486661962,Q81,0,List5
P105,57,1,0.7051268213707501,0.9967642486661962,Q82,1,List5
P105,58,1,0.06964716699229974,0.2670710885559184,Q83,1,List5
P105,59,1,0.5100352755139278,0.7954341127802228,Q84,1,List5
P105,6,0,0.17215000267479805,0.4278434801677169,Q10,1,List5
P105,60,1,0.12601059381098412,0.36289236266636066,Q85,1,List5
P105,61,1,0.5174852147081512,0.802886943936617,Q86,1,List5
P105,62,1,0.3062615526802218,0.5864516141445522,Q88,1,List5
P105,62,1,0.3062615526802218,0.5864516141445522,Q87,1,List5
P105,63,1,0.5330175136376687,0.818439720409874,Q90,1,List5
P105,63,1,0.5330175136376687,0.818439720409874,Q89,1,List5
P105,7,0,0.09640908720788209,0.31571701578732625,Q11,1,List5
P105,8,0,0.11366487455197133,0.34387974109931063,Q12,1,List5
P105,8,0,0.11366487455197133,0.34387974109931063,Q13,1,List5
P105,9,0,0.18106842609343407,0.4395379266480698,Q15,1,List5
P105,9,0,0.18106842609343407,0.4395379266480698,Q14,1,List5
P106,1,1,0.21589316018593668,0.48323145756841995,Q1,1,List6
P106,1,1,0.21589316018593668,0.48323145756841995,Q2,0,List6
P106,10,1,0.15933027275182285,0.41060265504690646,Q16,1,List6
P106,11,1,0.12526262406723176,0.36176399562074457,Q17,0,List6
P106,12,1,0.12060224304808727,0.3546672419347531,Q18,1,List6
P106,13,1,0.21725118483412323,0.4848799133781568,Q20,1,List6
P106,13,1,0.21725118483412323,0.4848799133781568,Q19,0,List6
P106,14,1,0.08314424635332253,0.2925005238988339,Q22,1,List6
P106,14,1,0.08314424635332253,0.2925005238988339,Q21,1,List6
P106,15,1,0.08721181245142906,0.2997867364918285,Q23,1,List6
P106,16,1,0.17053278254422202,0.42569752191997495,Q24,0,List6
P106,17,1,0.11991028295376122,0.3536035410351669,Q25,1,List6
P106,18,1,0.13807770961145194,0.3807190085826307,Q27,0,List6
P106,18,1,0.13807770961145194,0.3807190085826307,Q26,0,List6
P106,19,1,0.126112887890051,0.36304645764366095,Q28,0,List6
P106,2,1,0.17996216815602376,0.43809979238646846,Q3,1,List6
P106,2,1,0.17996216815602376,0.43809979238646846,Q4,1,List6
P106,20,1,0.13302913302913302,0.37334451921054973,Q29,1,List6
P106,21,1,0.11349259507330506,0.3436082628837678,Q30,0,List6
P106,22,0,0.16003178961057726,0.41156020096025653,Q32,1,List6
P106,22,0,0.16003178961057726,0.41156020096025653,Q31,0,List6
P106,23,0,0.2590717299578059,0.5340120563036338,Q34,1,List6
P106,23,0,0.2590717299578059,0.5340120563036338,Q33,0,List6
P106,24,0,0.17796194586112202,0.4354907105448736,Q35,1,List6
P106,25,0,0.1395023525920902,0.38277937138109147,Q36,1,List6
P106,26,0,0.15549746514575413,0.4053404750498271,Q38,0,List6
P106,26,0,0.15549746514575413,0.4053404750498271,Q37,0,List6
P106,27,0,0.18217938963564123,0.44097873857390485,Q39,1,List6
P106,29,0,0.1338664812239221,0.37457570473658913,Q41,1,List6
P106,3,1,0.15138672483639762,0.3996375411780776,Q5,1,List6
P106,3,1,0.15138672483639762,0.3996375411780776,Q6,0,List6
P106,30,0,0.13895486935866982,0.38198863291882706,Q42,1,List6
P106,31,0,0.18530239099859352,0.44501081523276004,Q43,1,List6
P106,32,0,0.14935870914356641,0.3968006359877492,Q44,0,List6
P106,32,0,0.14935870914356641,0.3968006359877492,Q45,1,List6
P106,33,0,0.1563809967396367,0.4065581403594244,Q46,0,List6
P106,33,0,0.1563809967396367,0.4065581403594244,Q47,1,List6
P106,34,0,0.08332077745969564,0.29282005652064047,Q48,1,List6
P106,35,0,0.18879936337411718,0.4494947048742109,Q49,1,List6
P106,35,0,0.18879936337411718,0.4494947048742109,Q50,1,List6
P106,36,0,0.06610732814526589,0.260034046396458,Q51,1,List6
P106,37,0,0.22845291135351053,0.4983393029429613,Q52,1,List6
P106,38,0,0.09059438275636839,0.3057295850482175,Q53,1,List6
P106,39,0,0.1979454760964046,0.4610744770183182,Q54,1,List6
P106,4,1,0.11155494933749026,0.34054243602634254,Q7,1,List6
P106,40,0,0.07810342181985576,0.2832419602023965,Q55,1,List6
P106,41,0,0.24922641676244364,0.5227050569929581,Q57,0,List6
P106,41,0,0.24922641676244364,0.5227050569929581,Q56,0,List6
P106,41,0,0.24922641676244364,0.5227050569929581,Q58,1,List6
P106,42,0,0.06526005888125613,0.2583239607073096,Q60,0,List6
P106,42,0,0.06526005888125613,0.2583239607073096,Q59,1,List6
P106,5,1,0.16018880018646933,0.4117742819801238,Q8,0,List6
P106,5,1,0.16018880018646933,0.4117742819801238,Q9,0,List6
P106,6,1,0.23821824596774194,0.5098840693447678,Q10,0,List6
P106,7,1,0.1846798162658741,0.44420912787107836,Q11,1,List6
P106,8,1,0.11540860885839052,0.34661750226362237,Q12,1,List6
P106,8,1,0.11540860885839052,0.34661750226362237,Q13,1,List6
P106,9,1,0.30942278440477144,0.5898758289642335,Q14,1,List6
P106,9,1,0.30942278440477144,0.5898758289642335,Q15,0,List6
P107,22,0,0.15902289088408963,0.4101825515381061,Q31,1,List1
P107,22,0,0.15902289088408963,0.4101825515381061,Q32,1,List1
P107,23,0,0.1117071631429473,0.3407841127756235,Q33,1,List1
P107,23,0,0.1117071631429473,0.3407841127756235,Q34,1,List1
P107,24,0,0.1257359125315391,0.3624783199083138,Q35,1,List1
P107,25,0,0.0381553664562174,0.19659798559888594,Q36,1,List1
P107,26,0,0.08382285547639878,0.29372717191126524,Q37,0,List1
P107,26,0,0.08382285547639878,0.29372717191126524,Q38,0,List1
P107,27,0,0.10088077726323436,0.32321565656816736,Q39,1,List1
P107,29,0,0.0869103836154295,0.2992521450182552,Q41,1,List1
P107,30,0,0.08293541090726313,0.292122119791546,Q42,0,List1
P107,31,0,0.06273547708753176,0.2531662277484283,Q43,0,List1
P107,32,0,0.05924932975871314,0.2458819594604061,Q45,1,List1
P107,32,0,0.05924932975871314,0.2458819594604061,Q44,0,List1
P107,33,0,0.088711230976690425,0.3024336738029365,Q47,1,List1
P107,33,0,0.088711230976690425,0.3024336738029365,Q46,0,List1
P107,34,0,0.09243809650937729,0.3089267204284978,Q48,1,List1
P107,35,0,0.24169933594687576,0.5139597569682498,Q50,0,List1
P107,35,0,0.24169933594687576,0.5139597569682498,Q49,1,List1
P107,36,0,0.15364957674492893,0.4027845857546418,Q51,1,List1
P107,37,0,0.012865827795843348,0.11367227486626877,Q52,0,List1
P107,38,0,0.2517441172992787,0.5256103779393557,Q53,1,List1
P107,39,0,0.07899695608059139,0.284902592281336,Q54,1,List1
P107,40,0,0.01971326164874552,0.14086936728603103,Q55,1,List1
P107,41,0,0.04241130968258202,0.20742426567049438,Q57,1,List1
P107,41,0,0.04241130968258202,0.20742426567049438,Q56,1,List1
P107,41,0,0.04241130968258202,0.20742426567049438,Q58,1,List1
P107,42,0,0.033714666182434475,0.18466327007415595,Q60,0,List1
P107,42,0,0.033714666182434475,0.18466327007415595,Q59,1,List1
P107,43,1,0.0616561425124493,0.2509316608020318,Q61,0,List1
P107,44,1,0.05396935933147632,0.23445513628192077,Q63,1,List1
P107,44,1,0.05396935933147632,0.23445513628192077,Q62,1,List1
P107,45,1,0.020235742999250527,0.14273657782768587,Q64,1,List1
P107,46,1,0.33758127438231467,0.6199782365189566,Q65,1,List1
P107,47,1,0.07760717543326238,0.2823159318983457,Q66,0,List1
P107,48,1,0.055792466240227434,0.23845774060476702,Q68,1,List1
P107,48,1,0.055792466240227434,0.23845774060476702,Q67,0,List1
P107,49,1,0.17142857142857143,0.42688717454641734,Q69,0,List1
P107,50,1,0.14412449098312974,0.38940423047938183,Q71,1,List1
P107,50,1,0.14412449098312974,0.38940423047938183,Q70,0,List1
P107,51,1,0.2030880420499343,0.4674965886489074,Q74,0,List1
P107,51,1,0.2030880420499343,0.4674965886489074,Q73,0,List1
P107,51,1,0.2030880420499343,0.4674965886489074,Q72,1,List1
P107,52,1,0.1562112409426203,0.4063244044105289,Q75,0,List1
P107,53,1,0.08655600145932142,0.2986225655423924,Q76,1,List1
P107,54,1,0.1727076701920115,0.4285816186675991,Q77,0,List1
P107,54,1,0.1727076701920115,0.4285816186675991,Q78,1,List1
